year,country,pivotal1,pivotal2,pivotal3,pivotal4,pivotal5,pivotal6
1996,LVA,23.91,26.75,19.66,48.07,14.2,22.93
1996,MAR,38.78,40.8,35.75,55.32,29.1,38.19
1996,MEX,69.72,72.88,64.98,76.25,59.61,68.82
1996,MLT,26.87,30.57,21.33,49.94,15.66,25.54
1996,MMR,19.0,18.14,20.29,44.1,14.75,19.18
1996,MYS,66.37,70.71,59.85,74.61,54.01,65.05
1996,NGA,47.86,52.48,40.93,62.18,34.23,46.35
1996,NLD,78.39,82.14,72.76,83.64,68.28,77.31
1996,NOR,64.95,70.53,56.57,74.48,50.48,63.17
1996,NZL,47.62,50.38,43.47,60.88,36.8,46.8
1996,PAK,42.02,42.96,40.61,56.53,33.91,41.77
1996,PER,40.26,42.03,37.61,56.01,30.93,39.76
1996,PHL,55.67,56.68,54.15,64.84,47.9,55.4
1996,POL,55.21,57.47,51.81,65.36,45.43,54.57
1996,PRT,54.25,55.02,53.1,63.78,46.79,54.05
1996,ROU,38.76,40.89,35.57,55.37,28.93,38.14
1996,RUS,72.46,74.94,68.75,77.83,63.79,71.78
1996,SAU,68.4,73.8,60.3,76.95,54.5,66.71
1996,SEN,16.5,19.28,12.33,44.61,8.11,15.42
1996,SGP,64.91,70.65,56.31,74.56,50.2,63.07
1996,SVK,41.24,44.77,35.95,57.56,29.3,40.12
1996,SVN,38.0,41.0,33.51,55.43,26.93,37.07
1996,SWE,69.56,73.72,63.32,76.89,57.79,68.32
1996,THA,65.73,66.52,64.54,71.55,59.13,65.52
1996,TUN,34.0,36.24,30.65,52.86,24.19,33.33
1996,TUR,59.02,59.31,58.58,66.57,52.64,58.94
1996,TWN,73.41,77.92,66.65,80.19,61.46,72.07
1996,UKR,43.19,49.72,33.39,60.48,26.81,40.74
1996,USA,100.0,100.0,100.0,100.0,100.0,100.0
1996,VNM,40.35,42.99,36.39,56.55,29.73,39.55
1996,ZAF,58.59,63.57,51.11,69.47,44.69,57.0
1997,ARG,56.1,55.9,56.39,64.34,50.29,56.14
1997,AUS,69.01,70.85,66.25,74.71,61.01,68.51
1997,AUT,65.89,67.19,63.94,72.03,58.47,65.54
1997,BEL,72.54,76.88,66.04,79.36,60.78,71.25
1997,BGD,29.57,27.05,33.34,48.22,26.76,30.03
1997,BGR,29.72,35.3,21.35,52.36,15.68,27.45
1997,BLR,36.27,41.48,28.45,55.7,22.13,34.35
1997,BRA,65.68,66.46,64.51,71.51,59.1,65.48
1997,BRN,29.43,32.42,24.94,50.87,18.89,28.44
1997,CAN,81.3,84.05,77.18,85.26,73.28,80.54
1997,CHE,69.96,72.52,66.13,75.97,60.88,69.25
1997,CHL,53.57,56.19,49.63,64.53,43.14,52.81
